name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,ID_Kelurahan 
Warung Cobek Aneka,"Jalan Cisitu Lama No.54A, Dago",-6.879781,107.6121223,OPERATIONAL,4.4,297,"cafe, restaurant, food, point_of_interest, establishment",1,IDN.9.14.19.2_1
Bayu Rica Rica,"Bayu rica rica, Jalan Ir. H. Juanda, Sekeloa",-6.8817936,107.6151947,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.19.2_1
Chicken Little Party,Jalan Ir. H. Juanda No.450A,-6.8681309,107.6207898,OPERATIONAL,4.7,137,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.19.2_1
Gobek Goyang,"Jalan Ir. H. Juanda No.342, Dago",-6.8776577,107.6172829,OPERATIONAL,5,2,"cafe, restaurant, food, store, point_of_interest, establishment",Unknown,IDN.9.14.19.2_1
Warung Nasi Mbak,"Gang Haji Rusmana No.55, Dago",-6.8744349,107.6158963,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.19.2_1
kedai azka,"Jalan Dago Biru No.23, Dago",-6.8744058,107.6156759,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.19.2_1
Seblak IBU,"4JG8+668, Unnamed Road, Dago",-6.8744682,107.6155711,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.19.2_1
warung jangk arasy,"kp biru, RT.05/RW.04, Dago",-6.8743397,107.6156253,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.19.2_1
Seblak Oces Dago barat ujung,"Jalan Dago Barat Ujung No.3, RT.002/RW.005, Dago",-6.874179,107.615941,OPERATIONAL,5,8,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.19.2_1
Nasi Kuning BUHUN,"Rusunawa Rancacili Twin Blok 3, Derwati",-6.9605013,107.6800649,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
Dapur Tatih,"Jalan Inten Sejahtera III No.05, Derwati",-6.9623424,107.6833843,OPERATIONAL,4.8,8,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
SushiMo,"DâRoyal Bandung Indah Inten, Jalan Inten Sejahtera II No.A1 -14, Derwati",-6.9615812,107.6839678,OPERATIONAL,5,16,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
Pisang Dan Ubi Nugget iiihhh,"2MPJ+HVC, Derwati",-6.9635728,107.6821538,OPERATIONAL,4.4,5,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
Baso mas bari,"rt02 rw04, Jalan Raya Derwati",-6.9634856,107.6825171,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
Sate Rembiga Bandung,"Perumahan Bandung Inten, Jalan Inten Bahagia I No.13 A6 No",-6.9607985,107.6841493,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
Kedai Chicken Family,"Jalan Bandung Inten Indah No.11 Blok B10 No.11, Derwati",-6.962357,107.6839791,OPERATIONAL,3.4,5,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
Seblak prasmanan teh nia,"Jalan Raya Derwati gang Mbah bais No.48, RT.01/RW.03, Derwati",-6.9637901,107.6814891,OPERATIONAL,5,9,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
Nugraha food,"Gang Amil No.38, Bodogol, Derwati",-6.9637979,107.6815073,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
Ayam goreng sehati rancasari,Rusunawa rancacili twin blok 1 lantai dasar no.10,-6.9607513,107.6791572,CLOSED_TEMPORARILY,5,1,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
Seafood Nazwa Zahira,"2MPM+H5, Derwati",-6.963625,107.6828971,OPERATIONAL,4.9,13,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
Baso Ceu Atik,"Jalan Raya Derwati No. 06. Rw.003/No.Rt. 003, Derwati",-6.9639708,107.681873,OPERATIONAL,4,6,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
Jajanan Viral,"2MQH+JHH, Derwati",-6.9609432,107.6789946,OPERATIONAL,5,1,"meal_takeaway, restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
Dimsum.08,"Jalan Raya Derwati No.04/04, Derwati",-6.963667,107.683198,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
Rumah Pak Oan,"2MPM+G7P, Jl derwati gg pakgoh, RT.005/RW.004",-6.963667,107.683198,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
"Pondok Baso Dua Putri ,Swadaya","2MPJ+G3X, Derwati",-6.9636433,107.6802266,OPERATIONAL,3,2,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
Pempek Turbo,"Perumahan Bandung Inten Indah Blok. C1 No. 7 Kel, Jalan Inten Mulia No.mor. 7 Blok. C1, Derwati",-6.9626622,107.6845417,OPERATIONAL,4.2,5,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
"Kabobs - Premium Kebab, Griya Derwati","Jalan Raya Derwati No.45, Bodogol, Derwati",-6.9643107,107.6810483,OPERATIONAL,4.6,63,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
Ramen Bajuri Derwati,"Jalan Raya Derwati No.46, Derwati",-6.9643967,107.6815061,OPERATIONAL,4.3,1161,"restaurant, point_of_interest, food, establishment",2,IDN.9.14.25.2_1
"Warung Seblak ""Cimin Bunda""","2MPJ+782, Jalan Raya Derwati, Derwati",-6.964363,107.6807655,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.25.2_1
Warung Haji Gendut,"Jalan Dunguscariang Gang Bapak Ukid 51c/77, RT.01/RW.05, Dungus Cariang",-6.9164973,107.5800017,OPERATIONAL,4.3,25,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.3_1
Gerobak Ma'icis,"Jl. Dunguscariang Gang. Bapak Ukid 51c/77, Jalan Dunguscariang Gang Bapak Ukid No.51 c/77, Dungus Cariang",-6.9165011,107.5798883,OPERATIONAL,3.6,10,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.3_1
SPLASH KITCHEN,"Jalan Garuda No.39, Garuda",-6.9147984,107.5775647,OPERATIONAL,4.3,53,"restaurant, cafe, food, point_of_interest, establishment",2,IDN.9.14.1.3_1
Domino's Pizza,"Jalan Jend. Sudirman No.588, RT.006/RW.004, Dungus Cariang",-6.9179353,107.5812759,OPERATIONAL,4.3,1768,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",2,IDN.9.14.1.3_1
TERAS UMMI,"Gang Sastra No.211/78, RT.05/RW.07, Ciroyom",-6.914481,107.5807223,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.3_1
Ren Dim Sum,"3HPJ+5CF, Jalan Rajawali Timur, Dungus Cariang",-6.91457,107.5810513,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.3_1
Warung Selera,"3HPJ+6G3, Jalan Rajawali Timur, Dungus Cariang",-6.9145084,107.5812642,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.3_1
Kedai Ha-Nay,"3HPJ+GFP, Gang RA Barnas I, Dungus Cariang",-6.9136629,107.5812077,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.3_1
Warung Nasi Emak MIMIN,"Jalan Halteu Utara No.Selatan, Dungus Cariang",-6.914433,107.5801914,OPERATIONAL,4,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.3_1
BaseCamp ORB,"Jalan Rajawali Timur No.221, Dungus Cariang",-6.9143623,107.5801105,OPERATIONAL,5,40,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.3_1
Seblak mamah neng // gang barnas 2,"Jalan Rajawali Timur No.213, Dungus Cariang",-6.9149656,107.5806302,OPERATIONAL,4.9,7,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.3_1
Ayam Goreng Cilacap Si Manis,"Jalan Rajawali Timur No.225, Dungus Cariang",-6.9143044,107.5798576,OPERATIONAL,5,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.3_1
Dimsum Mamazylla,Jalan Rajawali Timur Jalan Halteu Utara No.163,-6.9137145,107.5798083,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.3_1
"Nasgor ""DJ"" Jambal Roti","Jalan Halteu Selatan No.73B, Dungus Cariang",-6.9147697,107.5795332,CLOSED_TEMPORARILY,5,3,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.3_1
AYAM BAONG DC || SUDIRMAN,"Jalan Rajawali Timur Jalan Halteu Selatan No.357, RT.1/RW.06, Dungus Cariang",-6.9151009,107.5797541,OPERATIONAL,4.7,18,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.3_1
Takoyaki Hilhil,"Jalan Rajawali Timur Gg.barnas 2 RT.07/RW.05, Dungus Cariang",-6.9155705,107.5810922,OPERATIONAL,4.9,32,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.3_1
Nasi Goreng Mas Nono,"Jalan Rajawali Timur No.183, Dungus Cariang",-6.9147574,107.582158,OPERATIONAL,5,4,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.3_1
Lumpiah Abah Elim,"3HQG+FHX, Garuda",-6.9112516,107.5764882,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.4_1
BATAGOR OTAZ,"Jalan Dadali 3, Garuda",-6.9112385,107.5765031,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.4_1
Nasi Kapau,"Jalan Rajawali 3 No.50, Garuda",-6.9113837,107.5767202,OPERATIONAL,4.5,52,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.4_1
Sate Soto H.Taprani,"Jalan Dadali 3, Garuda",-6.9110805,107.5767211,OPERATIONAL,3.9,7,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.4_1
Panji Katsurupan Chicken,"3HQG+GMJ, Jalan Dadali 3 No.2, Garuda",-6.9112435,107.5768174,CLOSED_TEMPORARILY,4.5,261,"meal_takeaway, restaurant, food, point_of_interest, establishment",1,IDN.9.14.1.4_1
Cuankie Rumahan,Jalan Rajawali 3 No.15a,-6.9123908,107.5760001,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.4_1
Kedai Bakso Mas Bams,"3HQG+MP2, Jalan Dadali 3, Garuda",-6.9108663,107.5767573,OPERATIONAL,4.3,11,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.4_1
Nasi Goreng Ibnu Sabil,"Pengkolan kiri, Jalan Dadali 3 No.144, RT.04/RW.05",-6.910827,107.5767368,OPERATIONAL,3,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.4_1
Bakso Demplon,"Jalan Dadali 3 No.5, Garuda",-6.9115343,107.5770642,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.4_1
Ayam Goreng SAMPOERNA,"Jalan Dadali 3 No.5, Garuda",-6.9115615,107.5770699,OPERATIONAL,5,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.4_1
MIE BAKSO TUSUK DAN KUAH BANG RICKY,"Jalan Rajawali II No.47, Garuda",-6.911427,107.5770841,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.4_1
Onde ajippp,"3HQG+CVC, Kp, Jalan Kulalet, Andir",-6.9114323,107.5771444,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.1.4_1
Surabi Imut,"CI KOpi LOkal, cabang jalan Gandapura no 40, Jalan Gegerkalong Hilir No.55, RT.07/RW.04, Gegerkalong",-6.8684875,107.5922373,OPERATIONAL,4.3,450,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.28.1_1
Kedai Timbel Gerlong,Jalan Gegerkalong Hilir No.128,-6.8682743,107.5851323,CLOSED_TEMPORARILY,3.9,37,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.28.1_1
Batagor Bandung,Jl. Fajar Raya B2 No. 35 Gegerkalong Sukasari Bandung Jawa Barat,-6.8717323,107.5916144,OPERATIONAL,3,3,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.28.1_1
Breakfast Sibolang Khas Cianjur,"Jalan Gegerkalong Tengah No.5, Gegerkalong",-6.8678932,107.5914717,OPERATIONAL,4.5,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.28.1_1
Hotel Salon Fora &LongHill Cafe Fora,"Jalan Gegerkalong Hilir No.8, Gegerkalong",-6.87027,107.5930398,OPERATIONAL,4.1,804,"lodging, beauty_salon, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.28.1_1
Pizza Hut Delivery - PHD Indonesia,"Jalan Doktor Setiabudi No.171, Gegerkalong",-6.8680872,107.5934399,OPERATIONAL,4.6,458,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",2,IDN.9.14.28.1_1
Dapoer Ndeso Setiabudi,"Jalan Doktor Setiabudi No.159, Gegerkalong",-6.8670064,107.5937699,OPERATIONAL,4,427,"cafe, restaurant, food, point_of_interest, establishment",2,IDN.9.14.28.1_1
angkringan KODRIGER. (BAKSO CEPOT & CAFE),"Jalan Gegerkalong Girang No.81A, Gegerkalong",-6.8635233,107.5892381,CLOSED_TEMPORARILY,4.5,36,"cafe, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.28.1_1
Dunkin Donuts (Dunkindo Abadi. CV),"Jalan Doktor Setiabudi No.103-F, Gegerkalong",-6.8716681,107.5938005,OPERATIONAL,4.5,205,"bakery, restaurant, food, store, point_of_interest, establishment",2,IDN.9.14.28.1_1
by ludwick,"Jalan Budi Luhur I No.11B, RT.07/RW.05, Gegerkalong",-6.8727686,107.5931443,OPERATIONAL,4.4,1302,"cafe, restaurant, food, point_of_interest, establishment",2,IDN.9.14.28.1_1
Bakar_bakaran,"Jalan Gegerkalong Girang No.105, Cigugur Girang",-6.8631308,107.588243,OPERATIONAL,4.6,23,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.28.1_1
Bakmi Mama Pici,"Jalan Abadi I No.7, Gegerkalong",-6.8636578,107.5853234,OPERATIONAL,4.6,33,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.28.1_1
Ratu Jengki,"Jalan Gegerkalong Girang No.149, Gegerkalong",-6.8623588,107.5857926,OPERATIONAL,4.4,56,"restaurant, food, store, point_of_interest, establishment",2,IDN.9.14.28.1_1
KFC Setiabudi Bandung,"Jalan Doktor Setiabudi No.169, Gegerkalong",-6.868289,107.5934289,OPERATIONAL,4.4,6220,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.28.1_1
Ayam Bakar Pa' atam,"Jalan Gegerkalong Girang No.154, Gegerkalong",-6.8617693,107.5838488,OPERATIONAL,4.5,107,"restaurant, food, point_of_interest, establishment",1,IDN.9.14.28.1_1
Rumah Makan Tegal,"Jalan Gegerkalong Hilir No.84, Gegerkalong",-6.8692176,107.5883447,OPERATIONAL,4.4,18,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.28.1_1
Warung Nasi Ibu Yati,"Jalan Pasir Impun Atas No.80, Gempolsari",-6.9310139,107.5572825,OPERATIONAL,4.2,5,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
Kedai Dapoer Bunda,"Jalan Bougenville VIII No.6, Gempolsari",-6.9315529,107.5535797,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
megan cantik,"Jalan Mirabilis I No.8, Gempolsari",-6.9319075,107.5536519,CLOSED_TEMPORARILY,5,2,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
Rumah pempek bicek iche,"Jalan Dirgantara VI No.26D, Gempolsari",-6.931404,107.5524079,OPERATIONAL,5,2,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
Pypop,"Jalan Mirabilis I No.32, Gempolsari",-6.9324491,107.553344,OPERATIONAL,5,3,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
Teras Bougenville,"Jalan Bougenville V No.22, Gempolsari",-6.9306501,107.5532955,OPERATIONAL,4.8,9,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
Ayam Bakar Taliwang Ampenan,"Jalan Marga Asri II No.77, Gempolsari",-6.9321905,107.5524763,OPERATIONAL,3.7,9,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
D'Chick,"Jalan Tulip III No.5, Gempolsari",-6.9312798,107.5542483,OPERATIONAL,5,3,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
Kyosh Coffee,"Jalan Bougenville IV No.18, Gempolsari",-6.9304882,107.5535229,OPERATIONAL,5,3,"cafe, store, restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
ROTI BOKIR,"Jalan Bougenville IV No.18, KOMP GEMPOL SARI INDAH",-6.930465,107.5535383,OPERATIONAL,4.5,8,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
Kedai dimsum teh geulis,"Jalan Bougenville II No.5, Gempolsari",-6.9305726,107.5540073,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
Mie Huh Hah bandung kulon,"Indah, Jalan Mirabilis III No.40, Gempolsari",-6.9325118,107.5541314,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
Lontong Kari Sapi & Ayam,"Jalan Bougenville II No.7, Gempolsari",-6.9305024,107.5539268,CLOSED_TEMPORARILY,5,1,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
KEDAI RISOLES KENZIE',"Jl Bougenville ll No.5, RT.01/RW.04, Gempolsari",-6.9305199,107.5539592,OPERATIONAL,3.9,7,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
Kebuli Yang Dinanti - Gempol Sari Indah by Abada,"Komplek Gempol Sari Indah Jalan Bougenville II No.9, RT.01/RW.04",-6.9304566,107.553857,OPERATIONAL,4.9,207,"cafe, store, restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
Sate asin pedas sajian spesial bang bombom,"Jalan Tulip I No.6, Gempolsari",-6.9309333,107.5543638,OPERATIONAL,5,8,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
Milky Moo Cereal Infused Milk,"Jalan Marga Asri VI No.145, Gempolsari",-6.9326738,107.5519065,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
Esa mie baso restorja,"Komplek Bumi Asri, Jalan Kalpataru I Blok D No.36, RT.01/RW.09, Gempolsari",-6.9334037,107.5530766,OPERATIONAL,Unknown,Unknown,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
Nasi goreng Dug Dug,"3H82+RMG, Jalan Marga Asri III, Gempolsari",-6.9329497,107.5517065,OPERATIONAL,3.7,3,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
The Angkringan Jogjakarta,"Jl Dirgantara raya no VI, RT.07/RW.05, Gempolsari",-6.9312323,107.5512083,OPERATIONAL,5,1,"restaurant, point_of_interest, food, establishment",Unknown,IDN.9.14.7.7_1
Raja Cau,"Jalan Jati Indah IV No.10A, Gumuruh",-6.9443907,107.6357272,OPERATIONAL,4.6,356,"restaurant, food, point_of_interest, establishment",1,IDN.9.14.9.3_1
Mie Tek Tek Cah Pekalongan,"Jalan Gatot Subroto No.190, Gumuruh",-6.9301026,107.6392962,OPERATIONAL,4.4,64,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.9.3_1
Nasi Goreng Kambing Kampuyuh,"Jalan Libra V No.9a, Gumuruh",-6.9384284,107.6363331,OPERATIONAL,4.5,8,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.9.3_1
Gurame Crispy Pa'De,"Jalan Gumuruh No.161, Gumuruh",-6.9374504,107.6384019,OPERATIONAL,4.9,26,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.9.3_1
PECEL MADIUN,Jalan Turangga,-6.9368916,107.6383264,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.9.3_1
Rendang Andung,"Jalan Scorpio No.20, Gumuruh",-6.9366778,107.636437,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.9.3_1
Mie Pomper Bandung,"Jalan Setiakawan Utara Gg. Pertama RT.5/RW.7. Kel. Gumuruh, Batununggal Kontrakan Pa Budi No 4 (Pagar Hitam Ujung",-6.9396942,107.6377436,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.9.3_1
Dapur Yuraa,"Gang Gumuruh VI No.13, Gumuruh",-6.9364139,107.6383372,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.9.3_1
Bakso sigit,Gumuruh,-6.936122,107.6378018,CLOSED_TEMPORARILY,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.9.3_1
Warung Seblak Gemes Teh Dini,"3J7Q+C99, Gang Gumuruh VI, Gumuruh",-6.9364506,107.6384727,OPERATIONAL,5,8,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.9.3_1
Warung Simple Isti,"Jalan Gumuruh No.189, Gumuruh",-6.940083,107.6373649,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.9.3_1
Tiny Osaka Batununggal,"Jalan Libra No.32, Gumuruh",-6.9372412,107.6353354,OPERATIONAL,5,11,"meal_takeaway, restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.9.3_1
Mie Bakso AL BERKAH & Teh Oishii ç¾å³ãã,"Jl. Gumuruh kelurahan No.108bRT.03, RW.06, GumuruhKec",-6.9359628,107.637796,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.9.3_1
Kantin Heri,"Jalan Bukit Jarian Dalam VI No.4, Hegarmanah",-6.87839,107.606497,OPERATIONAL,4.6,65,"restaurant, food, point_of_interest, establishment",1,IDN.9.14.17.2_1
Sate Tegal Marem,"Jalan Doktor Setiabudi No.136, Hegarmanah",-6.8748725,107.5966101,OPERATIONAL,4.6,932,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.17.2_1
Koi Bistro,"Jalan Hegarmanah No.26, RW.01, Hegarmanah",-6.87835,107.5987372,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.17.2_1
Gombal Asap (Sego Sambal Ikan Asap),Jalan Ciumbuleuit No.151 B,-6.8748394,107.6044102,CLOSED_TEMPORARILY,4.6,101,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.17.2_1
Sabana Fried Chicken,"Jalan Ciumbuleuit No.151, Hegarmanah",-6.8748363,107.6044456,OPERATIONAL,4.8,4,"meal_takeaway, restaurant, food, point_of_interest, establishment",1,IDN.9.14.17.2_1
Ayam Djogja II Istimewa,"Jalan Doktor Setiabudi No.140, Hegarmanah",-6.8747396,107.5965277,OPERATIONAL,4.6,376,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.17.2_1
Dunkin Donuts Borma,"Jalan Doktor Setiabudi Dalam No.148, Hegarmanah",-6.8740956,107.5961624,OPERATIONAL,4.3,105,"bakery, store, restaurant, food, point_of_interest, establishment",2,IDN.9.14.17.2_1
Rotiku,"Jalan Doktor Setiabudi No.168, Hegarmanah",-6.8728854,107.5950989,OPERATIONAL,4.3,365,"bakery, store, restaurant, food, point_of_interest, establishment",2,IDN.9.14.17.2_1
Suis Butcher Steak House Setiabudi,"Jalan Doktor Setiabudi No.174, Hegarmanah",-6.8713414,107.594205,OPERATIONAL,4.4,2131,"restaurant, food, point_of_interest, establishment",2,IDN.9.14.17.2_1
Liek's Resto & Cafe,"4J92+53M, Jalan Doktor Setiabudi, Hegarmanah",-6.8820262,107.6001765,OPERATIONAL,5,3,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.17.2_1
Bakmi Jowo Anglo,"Jalan Abdul Rahman Saleh No.94, Husen Sastranegara",-6.9070901,107.5798068,OPERATIONAL,4.4,132,"restaurant, food, point_of_interest, establishment",1,IDN.9.14.16.2_1
Seblak & Shisha Melenooy,"No., Jalan Abdul Rahman Saleh No.34, Husen Sastranegara",-6.907343,107.5837285,OPERATIONAL,4,9,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.16.2_1
Topan Akmas,"Bandara Husein Sastranegara, Jalan Pajajaran, Husen Sastranegara",-6.903753,107.579048,OPERATIONAL,5,1,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.16.2_1
Smoking Area Roof Bandara Husein Sastranegara,"Jalan Pajajaran No.156, Husen Sastranegara",-6.9039113,107.5801569,OPERATIONAL,4.5,4,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.16.2_1
Bangi Kopi,"Area Check In Boarding, Jalan Pajajaran Jalan Bandara Husein Sastranegara No.156, Husen Sastranegara",-6.9038789,107.5802393,OPERATIONAL,4.1,7,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.16.2_1
Rumah Makan Btri,"Jalan Pajajaran No.156, Pajajaran",-6.9038984,107.580206,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.16.2_1
Kantin Abah,"Jalan Pajajaran No.156, Area Kargo Bandara Husein Sastranegara, Cicendo, Husen Sastranegara",-6.9041129,107.5789788,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.16.2_1
Kantin Arema,"Area Parkiran, Jalan Pajajaran Jalan Bandara Husein Sastranegara No.156, Husen Sastranegara",-6.9040964,107.579975,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.16.2_1
Kantin Uwa,"Jalan Pajajaran No.156, Area kargo Bandara Husein Sastranegara, Cicendo, Husen Sastranegara",-6.904256,107.5788177,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.16.2_1
Kantin puspa,"Jalan Pajajaran No.156, Area Cargo, Bandara Husen Sastranegara, Husen Sastranegara",-6.904493,107.579192,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.16.2_1
